1774273759.591|139|139|139|139
1774273759.763|142|142|142|142
1774273760.148|139|139|139|139
1774273760.163|135|135|135|135
1774273760.171|132|132|132|132
1774273760.179|125|125|125|125
1774273760.186|121|121|121|121
1774273760.194|114|114|114|114
1774273760.202|104|104|104|104
1774273760.210|97|97|97|97
1774273760.218|90|90|90|90
1774273760.226|79|79|79|79
1774273760.233|73|73|73|73
1774273760.241|66|66|66|66
1774273760.249|59|59|59|59
1774273760.257|52|52|52|52
1774273760.265|48|48|48|48
1774273760.273|45|45|45|45
1774273760.280|41|41|41|41
1774273760.288|34|34|34|34
1774273760.296|31|31|31|31
1774273760.304|27|27|27|27
1774273760.311|24|24|24|24
1774273760.319|20|20|20|20
1774273760.327|17|17|17|17
1774273760.335|13|13|13|13
1774273760.342|10|10|10|10
1774273760.350|6|6|6|6
1774273760.358|3|3|3|3
1774273760.366|0|0|0|0
1774273760.381|-4|-4|-4|-4
1774273760.389|-7|-7|-7|-7
1774273760.397|-11|-11|-11|-11
1774273760.405|-14|-14|-14|-14
1774273760.412|-18|-18|-18|-18
1774273760.420|-21|-21|-21|-21
1774273760.428|-25|-25|-25|-25
1774273760.436|-28|-28|-28|-28
1774273760.444|-35|-35|-35|-35
1774273760.451|-39|-39|-39|-39
1774273760.459|-42|-42|-42|-42
1774273760.467|-49|-49|-49|-49
1774273760.475|-53|-53|-53|-53
1774273760.483|-60|-60|-60|-60
1774273760.491|-67|-67|-67|-67
1774273760.498|-70|-70|-70|-70
1774273760.506|-77|-77|-77|-77
1774273760.514|-84|-84|-84|-84
1774273760.522|-87|-87|-87|-87
1774273760.530|-94|-94|-94|-94
1774273760.538|-101|-101|-101|-101
1774273760.545|-108|-108|-108|-108
1774273760.553|-122|-122|-122|-122
1774273760.561|-136|-136|-136|-136
1774273760.569|-146|-146|-146|-146
1774273760.576|-160|-160|-160|-160
1774273760.584|-171|-171|-171|-171
1774273760.592|-185|-185|-185|-185
1774273760.600|-192|-192|-192|-192
1774273760.608|-202|-202|-202|-202
1774273760.615|-213|-213|-213|-213
1774273760.623|-223|-223|-223|-223
1774273760.631|-230|-230|-230|-230
1774273760.639|-237|-237|-237|-237
1774273760.647|-244|-244|-244|-244
1774273760.654|-251|-251|-251|-251
1774273760.662|-256|-256|-256|-256
